date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:47	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2031%20Mar%202020%2013:00:47%20GMT	http://www.innovationplans.com/robots.txt		(from )
18:30:49	57293/57293	---M--	200	added ('OK')	text/html	etag:%22dfcd-5736c6670d482%22	http://www.innovationplans.com/idesign/arco/slider.html	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/slider.html	(from )
18:30:49	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2213e-5736c6975c1d9%22	http://www.innovationplans.com/idesign/arco/img/favicon.ico	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/favicon.ico	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:30:50	1136/1136	---M--	200	added ('OK')	text/css	etag:%22470-5736c668fe5a7%22	http://www.innovationplans.com/idesign/arco/css/plugins.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/plugins.css	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:30:50	1937/1937	---M--	200	added ('OK')	image/png	etag:%22791-5736c698f3597%22	http://www.innovationplans.com/idesign/arco/img/logo-light.png	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/logo-light.png	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:30:50	35721/35721	---M--	200	added ('OK')	text/css	etag:%228b89-5736c6693ae4a%22	http://www.innovationplans.com/idesign/arco/css/style.css	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/css/style.css	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:30:56	57370/57370	---M--	200	added ('OK')	image/jpeg	etag:%22e01a-5736c6976c3bc%22	http://www.innovationplans.com/idesign/arco/img/bg4.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/bg4.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:31:04	63109/63109	---M--	200	added ('OK')	image/jpeg	etag:%22f685-5736c68b0f769%22	http://www.innovationplans.com/idesign/arco/img/bg1.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/bg1.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:31:05	111746/111746	---M--	200	added ('OK')	image/jpeg	etag:%221b482-5736c68f2f5bd%22	http://www.innovationplans.com/idesign/arco/img/bg2.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/bg2.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:31:06	69273/69273	---M--	200	added ('OK')	image/jpeg	etag:%2210e99-5736c6895032b%22	http://www.innovationplans.com/idesign/arco/img/1.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/1.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:31:12	36462/36462	---M--	200	added ('OK')	image/jpeg	etag:%228e6e-5736c732b7c8f%22	http://www.innovationplans.com/idesign/arco/img/portfolio/3.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/portfolio/3.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
18:31:13	50273/50273	---M--	200	added ('OK')	image/jpeg	etag:%22c461-5736c731694f3%22	http://www.innovationplans.com/idesign/arco/img/portfolio/2.jpg	C:/My%20Web%20Sites/mos%204/www.innovationplans.com/idesign/arco/img/portfolio/2.jpg	(from http://www.innovationplans.com/idesign/arco/slider.html)
